Symbol,Date,Name
A,2018-07-03,AGILENT TECHNOLOGIES INC
AA,2018-07-03,ALCOA CORP
AABA,2018-07-03,ALTABA INC
AAC,2018-07-03,AAC HOLDINGS INC
AADR,2018-07-03,ADVISORSHARES DORSEY WRIGHT
AAL,2018-07-03,AMERICAN AIRLINES GROUP INC
AAMC,2018-07-03,ALTISOURCE ASSET MANAGEMENT
AAME,2018-07-03,ATLANTIC AMERICAN CORP
AAN,2018-07-03,AARON'S INC
AAOI,2018-07-03,APPLIED OPTOELECTRONICS INC
AAON,2018-07-03,AAON INC
AAP,2018-07-03,ADVANCE AUTO PARTS INC
AAPL,2018-07-03,APPLE INC
AAT,2018-07-03,AMERICAN ASSETS TRUST INC
AAU,2018-07-03,ALMADEN MINERALS LTD - B
AAV,2018-07-03,ADVANTAGE OIL & GAS LTD
AAWW,2018-07-03,ATLAS AIR WORLDWIDE HOLDINGS
AAXJ,2018-07-03,ISHARES MSCI ALL COUNTRY ASI
AAXN,2018-07-03,AXON ENTERPRISE INC
AB,2018-07-03,ALLIANCEBERNSTEIN HOLDING LP
ABAC,2018-07-03,RENMIN TIANLI GROUP INC
ABAX,2018-07-03,ABAXIS INC
ABB,2018-07-03,ABB LTD-SPON ADR
ABBV,2018-07-03,ABBVIE INC
ABC,2018-07-03,AMERISOURCEBERGEN CORP
ABCB,2018-07-03,AMERIS BANCORP
ABCD,2018-07-03,CAMBIUM LEARNING GROUP INC
ABDC,2018-07-03,ALCENTRA CAPITAL CORP
ABEO,2018-07-03,ABEONA THERAPEUTICS INC
ABEOW,2018-07-03,
ABEV,2018-07-03,AMBEV SA-ADR
ABG,2018-07-03,ASBURY AUTOMOTIVE GROUP
ABIL,2018-07-03,ABILITY INC
ABIO,2018-07-03,ARCA BIOPHARMA INC
ABM,2018-07-03,ABM INDUSTRIES INC
ABMD,2018-07-03,ABIOMED INC
ABR,2018-07-03,ARBOR REALTY TRUST INC
ABR-A,2018-07-03,
ABR-B,2018-07-03,
ABR-C,2018-07-03,
ABT,2018-07-03,ABBOTT LABORATORIES
ABTX,2018-07-03,ALLEGIANCE BANCSHARES INC
ABUS,2018-07-03,ARBUTUS BIOPHARMA CORP
ABX,2018-07-03,BARRICK GOLD CORP
AC,2018-07-03,ASSOCIATED CAPITAL GROUP - A
ACAD,2018-07-03,ACADIA PHARMACEUTICALS INC
ACBI,2018-07-03,ATLANTIC CAPITAL BANCSHARES
ACC,2018-07-03,AMERICAN CAMPUS COMMUNITIES
ACCO,2018-07-03,ACCO BRANDS CORP
ACER,2018-07-03,ACER THERAPEUTICS INC
ACET,2018-07-03,ACETO CORP
ACGL,2018-07-03,ARCH CAPITAL GROUP LTD
ACGLO,2018-07-03,
ACGLP,2018-07-03,
ACH,2018-07-03,ALUMINUM CORP OF CHINA-ADR
ACHC,2018-07-03,ACADIA HEALTHCARE CO INC
ACHN,2018-07-03,ACHILLION PHARMACEUTICALS
ACHV,2018-07-03,ACHIEVE LIFE SCIENCES INC
ACIA,2018-07-03,ACACIA COMMUNICATIONS INC
ACIM,2018-07-03,SPDR MSCI ACWI IMI ETF
ACIU,2018-07-03,AC IMMUNE SA
ACIW,2018-07-03,ACI WORLDWIDE INC
ACLS,2018-07-03,AXCELIS TECHNOLOGIES INC
ACM,2018-07-03,AECOM
ACMR,2018-07-03,ACM RESEARCH INC-CLASS A
ACN,2018-07-03,ACCENTURE PLC-CL A
ACNB,2018-07-03,ACNB CORP
ACOR,2018-07-03,ACORDA THERAPEUTICS INC
ACP,2018-07-03,ABERDEEN INCOME CREDIT STRAT
ACRE,2018-07-03,ARES COMMERCIAL REAL ESTATE
ACRS,2018-07-03,ACLARIS THERAPEUTICS INC
ACRX,2018-07-03,ACELRX PHARMACEUTICALS INC
ACSF,2018-07-03,AMERICAN CAPITAL SENIOR FLOA
ACSI,2018-07-03,AMERICAN CUSTOMER SATISFACTI
ACST,2018-07-03,ACASTI PHARMA INC
ACT,2018-07-03,ADVISORSHARES VICE ETF
ACTG,2018-07-03,ACACIA RESEARCH CORP
ACU,2018-07-03,ACME UNITED CORP
ACV,2018-07-03,ALLIANZGI DIVERSIFIED INCOME
ACWF,2018-07-03,ISHARES EDGE MSCI MULTIFACTO
ACWI,2018-07-03,ISHARES MSCI ACWI ETF
ACWV,2018-07-03,ISHARES EDGE MSCI MIN VOL GL
ACWX,2018-07-03,ISHARES MSCI ACWI EX US ETF
ACXM,2018-07-03,ACXIOM CORP
ACY,2018-07-03,AEROCENTURY CORP
ADAP,2018-07-03,ADAPTIMMUNE THERAPEUTICS-ADR
ADBE,2018-07-03,ADOBE SYSTEMS INC
ADC,2018-07-03,AGREE REALTY CORP
ADES,2018-07-03,ADVANCED EMISSIONS SOLUTIONS
ADI,2018-07-03,ANALOG DEVICES INC
ADM,2018-07-03,ARCHER-DANIELS-MIDLAND CO
ADMA,2018-07-03,ADMA BIOLOGICS INC
ADMP,2018-07-03,ADAMIS PHARMACEUTICALS CORP
ADMS,2018-07-03,ADAMAS PHARMACEUTICALS INC
ADNT,2018-07-03,ADIENT PLC
ADOM,2018-07-03,ADOMANI INC
ADP,2018-07-03,AUTOMATIC DATA PROCESSING
ADRA,2018-07-03,INVESCO BLDRS ASIA 50 ADR IN
ADRD,2018-07-03,INVESCO BLDRS DEVELOPED MARK
ADRE,2018-07-03,INVESCO BLDRS EMERGING MARKE
ADRO,2018-07-03,ADURO BIOTECH INC
ADRU,2018-07-03,INVESCO BLDRS EUROPE SELECT
ADS,2018-07-03,ALLIANCE DATA SYSTEMS CORP
ADSK,2018-07-03,AUTODESK INC
ADSW,2018-07-03,ADVANCED DISPOSAL SERVICES I
ADT,2018-07-03,ADT INC
ADTN,2018-07-03,ADTRAN INC
ADUS,2018-07-03,ADDUS HOMECARE CORP
ADVM,2018-07-03,ADVERUM BIOTECHNOLOGIES INC
ADX,2018-07-03,ADAMS DIVERSIFIED EQUITY
ADXS,2018-07-03,ADVAXIS INC
ADXSW,2018-07-03,
ADZ,2018-07-03,DB AGRICULTURE SHORT ETN
AE,2018-07-03,ADAMS RESOURCES & ENERGY INC
AEB,2018-07-03,
AED,2018-07-03,
AEE,2018-07-03,AMEREN CORPORATION
AEF,2018-07-03,ABERDEEN EM MRKT EQTY INC
AEG,2018-07-03,AEGON N.V.-NY REG SHR
AEGN,2018-07-03,AEGION CORP
AEH,2018-07-03,
AEHR,2018-07-03,AEHR TEST SYSTEMS
AEIS,2018-07-03,ADVANCED ENERGY INDUSTRIES
AEL,2018-07-03,AMERICAN EQUITY INVT LIFE HL
AEM,2018-07-03,AGNICO EAGLE MINES LTD
AEMD,2018-07-03,AETHLON MEDICAL INC
AEO,2018-07-03,AMERICAN EAGLE OUTFITTERS
AEP,2018-07-03,AMERICAN ELECTRIC POWER
AER,2018-07-03,AERCAP HOLDINGS NV
AERI,2018-07-03,AERIE PHARMACEUTICALS INC
AES,2018-07-03,AES CORP
AET,2018-07-03,AETNA INC
AETI,2018-07-03,AMERICAN ELECTRIC TECHNOLOGI
AEY,2018-07-03,ADDVANTAGE TECHNOLOGIES GRP
AEZS,2018-07-03,AETERNA ZENTARIS INC
AFB,2018-07-03,ALLIANCE NATIONAL MUNI INC
AFC,2018-07-03,
AFG,2018-07-03,AMERICAN FINANCIAL GROUP INC
AFGE,2018-07-03,
AFGH,2018-07-03,
AFH,2018-07-03,ATLAS FINANCIAL HOLDINGS INC
AFHBL,2018-07-03,
AFI,2018-07-03,ARMSTRONG FLOORING INC
AFK,2018-07-03,VANECK VECTORS AFRICA INDEX
AFL,2018-07-03,AFLAC INC
AFMD,2018-07-03,AFFIMED NV
AFSI,2018-07-03,AMTRUST FINANCIAL SERVICES
AFSI-A,2018-07-03,
AFSI-B,2018-07-03,
AFSI-C,2018-07-03,
AFSI-D,2018-07-03,
AFSI-E,2018-07-03,
AFSI-F,2018-07-03,
AFSS,2018-07-03,
AFST,2018-07-03,
AFT,2018-07-03,APOLLO SENIOR FLOATING RATE
AFTY,2018-07-03,CSOP FTSE CHINA A50 ETF
AG,2018-07-03,FIRST MAJESTIC SILVER CORP
AGC,2018-07-03,ADVENT CLAYMORE CONVERTIBLE
AGCO,2018-07-03,AGCO CORP
AGD,2018-07-03,ABERDEEN GLBL DYN DIVID
AGEN,2018-07-03,AGENUS INC
AGF,2018-07-03,DB AGRICULTURE LONG ETN
AGFS,2018-07-03,AGROFRESH SOLUTIONS INC
AGFSW,2018-07-03,
AGG,2018-07-03,ISHARES CORE U.S. AGGREGATE
AGGE,2018-07-03,IQ ENHANCED CORE BOND US ETF
AGGP,2018-07-03,IQ ENHANCED CORE PLUS BOND U
AGGY,2018-07-03,WISDOMTREE YIELD ENHANCED AG
AGI,2018-07-03,ALAMOS GOLD INC-CLASS A
AGIO,2018-07-03,AGIOS PHARMACEUTICALS INC
AGLE,2018-07-03,AEGLEA BIOTHERAPEUTICS INC
AGM,2018-07-03,FEDERAL AGRIC MTG CORP-CL C
AGM-A,2018-07-03,
AGM-B,2018-07-03,
AGM-C,2018-07-03,
AGM.A,2018-07-03,FEDERAL AGRIC MTG CORP-CL A
AGMH,2018-07-03,AGM GROUP HOLDINGS INC
AGN,2018-07-03,ALLERGAN PLC
AGNC,2018-07-03,AGNC INVESTMENT CORP
AGNCB,2018-07-03,
AGNCN,2018-07-03,
AGND,2018-07-03,WISDOMTREE NEGATIVE DUR AGGR
AGO,2018-07-03,ASSURED GUARANTY LTD
AGO-B,2018-07-03,
AGO-E,2018-07-03,
AGO-F,2018-07-03,
AGQ,2018-07-03,PROSHARES ULTRA SILVER
AGR,2018-07-03,AVANGRID INC
AGRO,2018-07-03,ADECOAGRO SA
AGRX,2018-07-03,AGILE THERAPEUTICS INC
AGS,2018-07-03,PLAYAGS INC
AGT,2018-07-03,ISHARES ARGENTINA
AGTC,2018-07-03,APPLIED GENETIC TECHNOLOGIES
AGX,2018-07-03,ARGAN INC
AGYS,2018-07-03,AGILYSYS INC
AGZ,2018-07-03,ISHARES AGENCY BOND ETF
AGZD,2018-07-03,WISDOMTREE INTEREST RATE HDG
AHC,2018-07-03,A H BELO CORP-A
